task_id,splitter,max_depth,dataset,mean_accuracy, std_accuracy,n_fold
14952,random,15,PhishingWebsites,0.9622788901344375,0.005755316302821036,0.9556962025316456|0.9647377938517179|0.9656419529837251|0.9638336347197106|0.9683544303797469|0.9619909502262444|0.9565610859728507|0.971945701357466|0.9520361990950226|0.9619909502262444
14952,second_best,1,PhishingWebsites,0.8473090424095636,0.011096953204814604,0.8291139240506329|0.8580470162748643|0.8381555153707052|0.8571428571428571|0.8526220614828209|0.8343891402714932|0.8561085972850678|0.8633484162895928|0.8452488687782805|0.8389140271493213
14952,second_best,5,PhishingWebsites,0.9239264235392307,0.005986002973897215,0.9204339963833634|0.9276672694394213|0.9231464737793852|0.9267631103074141|0.9150090415913201|0.9131221719457013|0.9276018099547512|0.9239819004524887|0.9339366515837104|0.9276018099547512
14952,second_best,10,PhishingWebsites,0.9459987889995336,0.005546571151324579,0.9349005424954792|0.9475587703435805|0.9439421338155516|0.9493670886075949|0.9376130198915009|0.9484162895927601|0.9457013574660633|0.9538461538461539|0.951131221719457|0.9475113122171945
14952,second_best,15,PhishingWebsites,0.9601085809201967,0.0032220877553314252,0.9575045207956601|0.9593128390596745|0.9566003616636528|0.9647377938517179|0.9620253164556962|0.9583710407239819|0.9665158371040724|0.9574660633484163|0.9574660633484163|0.9610859728506788
14952,worst,1,PhishingWebsites,0.5569425511197663,0.0003140976446440975,0.5569620253164557|0.5569620253164557|0.5569620253164557|0.5569620253164557|0.5569620253164557|0.5574660633484163|0.5574660633484163|0.5565610859728507|0.5565610859728507|0.5565610859728507
14952,worst,5,PhishingWebsites,0.5584805217120927,0.002431909436650743,0.5578661844484629|0.5560578661844484|0.5569620253164557|0.5632911392405063|0.5560578661844484|0.5556561085972851|0.5601809954751131|0.5610859728506787|0.5601809954751131|0.5574660633484163
14952,worst,10,PhishingWebsites,0.5764825345912463,0.011570104324970245,0.5858951175406871|0.5623869801084991|0.5678119349005425|0.5678119349005425|0.5840867992766727|0.5565610859728507|0.5746606334841629|0.5900452488687783|0.5864253393665159|0.5891402714932127
14952,worst,15,PhishingWebsites,0.6522871543943771,0.01669603189011761,0.6582278481012658|0.6582278481012658|0.6564195298372514|0.6130198915009042|0.6410488245931284|0.6389140271493212|0.6642533936651583|0.6506787330316742|0.669683257918552|0.6723981900452489
14970,best,1,har,0.3738228273278799,0.0008051165127973742,0.3737864077669903|0.3737864077669903|0.3737864077669903|0.37281553398058254|0.37281553398058254|0.37281553398058254|0.3737864077669903|0.37475728155339805|0.37475728155339805|0.3751214771622935
14970,best,5,har,0.8907661316953966,0.006976806158718152,0.887378640776699|0.8961165048543689|0.8902912621359224|0.8922330097087379|0.8902912621359224|0.8844660194174757|0.9077669902912622|0.887378640776699|0.8805825242718447|0.891156462585034
14970,best,10,har,0.9372755149216413,0.006158193926319934,0.9436893203883495|0.9368932038834952|0.9466019417475728|0.933009708737864|0.9407766990291262|0.9281553398058252|0.9407766990291262|0.9388349514563107|0.9262135922330097|0.9378036929057337
14970,best,15,har,0.936012812892147,0.008084889814249886,0.9368932038834952|0.9407766990291262|0.9407766990291262|0.9262135922330097|0.9398058252427185|0.9436893203883495|0.9378640776699029|0.9446601941747573|0.9174757281553398|0.9319727891156463
14970,random,1,har,0.35566569484936833,0.0007955126462460238,0.3553398058252427|0.35436893203883496|0.35436893203883496|0.3553398058252427|0.35631067961165047|0.35631067961165047|0.3553398058252427|0.35631067961165047|0.35631067961165047|0.3566569484936832
14970,random,5,har,0.8627060865955258,0.015435875214754395,0.8718446601941747|0.8388349514563107|0.8669902912621359|0.8563106796116505|0.8543689320388349|0.8543689320388349|0.8990291262135922|0.8524271844660194|0.8601941747572815|0.8726919339164237
14970,random,10,har,0.9355281308084955,0.006320925542232289,0.941747572815534|0.925242718446602|0.9300970873786408|0.9427184466019417|0.925242718446602|0.933009708737864|0.9407766990291262|0.9388349514563107|0.9378640776699029|0.9397473275024295
14970,random,15,har,0.9391205525205921,0.008939360607924026,0.9495145631067962|0.9504854368932039|0.9213592233009709|0.9320388349514563|0.9359223300970874|0.9436893203883495|0.9407766990291262|0.929126213592233|0.9466019417475728|0.9416909620991254
14970,second_best,1,har,0.3734344778133167,0.0009501171795916606,0.3737864077669903|0.37281553398058254|0.3718446601941748|0.37281553398058254|0.37281553398058254|0.37281553398058254|0.3737864077669903|0.37475728155339805|0.3737864077669903|0.3751214771622935
14970,second_best,5,har,0.8890193136894148,0.006231975022764104,0.887378640776699|0.8893203883495145|0.8922330097087379|0.8893203883495145|0.8893203883495145|0.883495145631068|0.8980582524271845|0.8854368932038835|0.8766990291262136|0.8989310009718173
14970,second_best,10,har,0.9318388104201458,0.006251515970484516,0.9349514563106797|0.925242718446602|0.9359223300970874|0.929126213592233|0.9310679611650485|0.9213592233009709|0.9310679611650485|0.9427184466019417|0.9271844660194175|0.9397473275024295
14970,second_best,15,har,0.9332945549925933,0.0064401316615070895,0.9378640776699029|0.9233009708737864|0.941747572815534|0.9310679611650485|0.925242718446602|0.933009708737864|0.9359223300970874|0.9436893203883495|0.9271844660194175|0.9339164237123421
14970,worst,1,har,0.1891446120750658,0.0015566750164354038,0.1883495145631068|0.1883495145631068|0.1883495145631068|0.18737864077669902|0.1883495145631068|0.19320388349514564|0.1883495145631068|0.18932038834951456|0.19029126213592232|0.18950437317784258
14970,worst,5,har,0.1908923735929878,0.0038662986434681657,0.19029126213592232|0.18737864077669902|0.18640776699029127|0.1941747572815534|0.1883495145631068|0.19514563106796118|0.18737864077669902|0.19902912621359223|0.18932038834951456|0.19144800777453838
14970,worst,10,har,0.19264079556926794,0.0051509317296959305,0.18737864077669902|0.20097087378640777|0.18640776699029127|0.19514563106796118|0.1883495145631068|0.19223300970873786|0.18640776699029127|0.19514563106796118|0.1941747572815534|0.2001943634596696
14970,worst,15,har,0.19370847368073443,0.0036574502275917987,0.18932038834951456|0.20194174757281552|0.1912621359223301|0.19514563106796118|0.19223300970873786|0.19320388349514564|0.19514563106796118|0.18932038834951456|0.19223300970873786|0.19727891156462585
167120,best,1,numerai28.6,0.514078073089701,0.004551133145762001,0.5127699335548173|0.5161960132890365|0.5057101328903655|0.5089285714285714|0.509655315614618|0.5148463455149501|0.5148463455149501|0.5199335548172758|0.5179609634551495|0.5199335548172758
167120,best,5,numerai28.6,0.5156769102990033,0.0024263831088234427,0.5142234219269103|0.5206602990033222|0.5145348837209303|0.5139119601328903|0.5161960132890365|0.5131852159468439|0.5142234219269103|0.5141196013289037|0.5197259136212624|0.5159883720930233
167120,best,10,numerai28.6,0.5123027408637874,0.0051729856653238235,0.5097591362126246|0.5128737541528239|0.4995847176079734|0.5192068106312292|0.5168189368770764|0.5102782392026578|0.5173380398671097|0.5118355481727574|0.5133928571428571|0.5119393687707641
167120,best,15,numerai28.6,0.5109011627906976,0.0035430062542923433,0.509032392026578|0.5099667774086378|0.5102782392026578|0.5098629568106312|0.5126661129568106|0.5123546511627907|0.5188953488372093|0.5039451827242525|0.5120431893687708|0.5099667774086378
167120,random,1,numerai28.6,0.5128529900332226,0.003670553713598093,0.5091362126245847|0.5144310631229236|0.507890365448505|0.5098629568106312|0.5129775747508306|0.5153654485049833|0.5136004983388704|0.509343853820598|0.5153654485049833|0.5205564784053156
167120,random,5,numerai28.6,0.5130294850498338,0.004749097334004996,0.5067483388704319|0.518687707641196|0.510797342192691|0.5049833887043189|0.5147425249169435|0.520764119601329|0.5113164451827242|0.5129775747508306|0.5120431893687708|0.517234219269103
167120,random,10,numerai28.6,0.5118147840531562,0.005393637443785168,0.5143272425249169|0.5074750830564784|0.5038413621262459|0.5130813953488372|0.5223214285714286|0.5100705980066446|0.5165074750830565|0.5160921926910299|0.5087209302325582|0.5057101328903655
167120,random,15,numerai28.6,0.5064264950166113,0.004413157054081971,0.5074750830564784|0.5053986710963455|0.5132890365448505|0.5028031561461794|0.5123546511627907|0.5056063122923588|0.5109011627906976|0.5058139534883721|0.4994808970099668|0.501142026578073
167120,second_best,1,numerai28.6,0.5146283222591361,0.004653769162501967,0.5123546511627907|0.5158845514950167|0.5076827242524917|0.5088247508305648|0.5143272425249169|0.5149501661129569|0.5149501661129569|0.5127699335548173|0.5241901993355482|0.5203488372093024
167120,second_best,5,numerai28.6,0.514264950166113,0.003024798468273027,0.5157807308970099|0.5175456810631229|0.5177533222591362|0.5134966777408638|0.5147425249169435|0.5118355481727574|0.5148463455149501|0.5066445182724253|0.5151578073089701|0.5148463455149501
167120,second_best,10,numerai28.6,0.5143583887043189,0.0040676083541582074,0.5117317275747508|0.5174418604651163|0.509655315614618|0.5136004983388704|0.5155730897009967|0.5112126245847176|0.523359634551495|0.5092400332225914|0.5171303986710963|0.5146387043189369
167120,second_best,15,numerai28.6,0.5087105481727574,0.0043930836814517794,0.5012458471760798|0.5143272425249169|0.5041528239202658|0.5127699335548173|0.5036337209302325|0.5062292358803987|0.5131852159468439|0.5099667774086378|0.509032392026578|0.512562292358804
167120,worst,1,numerai28.6,0.5051702657807308,4.1528239202692775e-05,0.5050872093023255|0.5050872093023255|0.5051910299003323|0.5051910299003323|0.5051910299003323|0.5051910299003323|0.5051910299003323|0.5051910299003323|0.5051910299003323|0.5051910299003323
167120,worst,5,numerai28.6,0.5051287375415281,0.00014082911094530102,0.5050872093023255|0.5050872093023255|0.5050872093023255|0.5051910299003323|0.5047757475083057|0.5052948504983389|0.5050872093023255|0.5051910299003323|0.5051910299003323|0.5052948504983389
167120,worst,10,numerai28.6,0.5054194352159469,0.0004300729895599806,0.5062292358803987|0.5051910299003323|0.5048795681063123|0.5056063122923588|0.5061254152823921|0.5050872093023255|0.5053986710963455|0.5053986710963455|0.5049833887043189|0.5052948504983389
167120,worst,15,numerai28.6,0.5047238372093024,0.0015623189070673243,0.5059177740863787|0.5048795681063123|0.5034260797342193|0.5039451827242525|0.5060215946843853|0.5019725913621262|0.5040490033222591|0.5077865448504983|0.5037375415282392|0.5055024916943521
167141,best,1,churn,0.8698,0.007011419257183248,0.866|0.866|0.884|0.878|0.866|0.87|0.874|0.872|0.86|0.862
167141,best,5,churn,0.9322000000000001,0.008646386528486885,0.924|0.936|0.942|0.934|0.94|0.932|0.944|0.914|0.928|0.928
167141,best,10,churn,0.943,0.008774964387392085,0.934|0.948|0.958|0.946|0.948|0.94|0.946|0.93|0.93|0.95
167141,best,15,churn,0.9349999999999999,0.011567194992736968,0.932|0.934|0.96|0.928|0.94|0.93|0.94|0.922|0.918|0.946
167141,random,1,churn,0.8585999999999998,0.0009165151389911689,0.86|0.86|0.86|0.858|0.858|0.858|0.858|0.858|0.858|0.858
167141,random,5,churn,0.9107999999999998,0.011496086290559942,0.89|0.932|0.908|0.908|0.922|0.908|0.906|0.898|0.918|0.918
167141,random,10,churn,0.9362,0.0072360210060501825,0.92|0.942|0.948|0.936|0.94|0.93|0.936|0.932|0.938|0.94
167141,random,15,churn,0.9324000000000001,0.008662563131083064,0.94|0.928|0.942|0.936|0.936|0.934|0.932|0.938|0.91|0.928
167141,second_best,1,churn,0.8698,0.007011419257183248,0.866|0.866|0.884|0.878|0.866|0.87|0.874|0.872|0.86|0.862
167141,second_best,5,churn,0.9154,0.006873136110975839,0.902|0.926|0.918|0.918|0.922|0.908|0.92|0.91|0.912|0.918
167141,second_best,10,churn,0.9272000000000002,0.005946427498927408,0.928|0.93|0.914|0.926|0.936|0.924|0.934|0.928|0.93|0.922
167141,second_best,15,churn,0.9224000000000002,0.00691664658631624,0.918|0.918|0.934|0.918|0.932|0.922|0.928|0.926|0.912|0.916
167141,worst,1,churn,0.8585999999999998,0.0009165151389911689,0.86|0.86|0.86|0.858|0.858|0.858|0.858|0.858|0.858|0.858
167141,worst,5,churn,0.8585999999999998,0.0009165151389911689,0.86|0.86|0.86|0.858|0.858|0.858|0.858|0.858|0.858|0.858
167141,worst,10,churn,0.8583999999999999,0.0008000000000000007,0.858|0.86|0.86|0.858|0.858|0.858|0.858|0.858|0.858|0.858
167141,worst,15,churn,0.8506,0.0026907248094147442,0.846|0.85|0.852|0.85|0.854|0.852|0.85|0.854|0.852|0.846
219,best,1,electricity,0.7573931071681734,0.007183394154938188,0.7583848190644307|0.7599293909973521|0.7442065769145884|0.7528139483557713|0.7589935996468771|0.7525932465239461|0.7713529022290885|0.7638490399470316|0.7510483337011697|0.7607592143014787
